Country of Birth,Total,%,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
France,2332,0.25%,8,1,3,1,1,4,4,5,3,8,2,6,5,,2,1,6,,2,5,3,6,1,5,3,2,3,11,24,35,15,20,29,31,21,16,22,33,33,16,43,21,23,22,26,28,33,29,31,33,48,45,39,46,39,49,52,78,54,34,39,22,71,107,95,114,81,117,125,146,132,114
French Equatorial Africa,2,0.00%,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
French Guiana,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
French Indo-China,238,0.03%,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,5,12,13,8,5,10,34,79,55,10,1,2,,,,,,,,,,,,,,,,
French Polynesia,187,0.02%,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,1,,2,,1,2,1,,4,8,1,3,4,7,8,5,8,9,5,7,3,8,,4,3,3,2,2,3,1,6,,1,9,9,9,10,5,4,8,9,8
French Territory of Afars and Issas,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
French West Africa,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,14,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,3,,,
Gambia,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Georgia,127,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30,11,8,6,6,4,6,7,13,1,1,6,1,3,5,1,6,2,1,1,1,4
Germany,5295,0.57%,28,18,15,14,17,28,42,56,71,44,50,76,38,32,40,28,40,34,38,34,44,19,35,38,46,36,30,50,56,121,57,44,63,43,34,26,33,44,23,28,30,27,16,13,30,90,26,52,31,53,60,43,57,59,90,93,82,130,154,114,96,129,166,179,208,220,194,246,312,281,223,178
Ghana,538,0.06%,,,,,,,,,1,,,,,,,,,,1,,,,,1,1,,1,,5,3,4,2,4,5,1,4,1,6,4,3,1,5,6,3,12,16,17,29,17,26,42,26,26,22,11,14,17,11,8,12,11,12,17,16,17,11,14,22,13,18,10,9
Gibraltar,85,0.01%,1,,,,,,,,,,1,,,,,,,,,,,,,2,1,2,,3,3,,1,3,3,3,4,2,1,1,3,5,3,1,3,1,1,1,2,,1,,,5,2,1,1,5,,,2,1,1,1,1,1,3,,2,,4,2,1,
